AÑO,TRIMESTRE,PROVEEDOR,SEGMENTO,TERMINAL,TECNOLOGÍA,No. SUSCRIPTORES
2022,1,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,3G,460749
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,3G,431315
2023,1,PARTNERS TELECOM COLOMBIA SAS,Empresas,Data Card,4G,1167
2023,1,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,2G,0
2022,1,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,4G,535
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,4G,65648
2021,4,PARTNERS TELECOM COLOMBIA SAS,Personas,Data Card,3G,598
2022,1,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,4G,5845
2022,1,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,4G,20044
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,2G,93
2022,1,AVANTEL S.A.S,Personas,Teléfono movil,4G,12024
2020,3,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,3G,0
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,4G,7725
2023,1,SETROC MOBILE GROUP SAS,Personas,Teléfono movil,4G,0
2022,1,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,4G,736144
2021,4,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,4G,654300
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,4G,80662
2022,1,PARTNERS TELECOM COLOMBIA SAS,Empresas,Teléfono movil,3G,600
2023,1,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,2G,70802
2023,1,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,3G,383611
2022,1,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,3G,0
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,3G,3863
2023,1,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,4G,2384
2023,1,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,4G,1346664
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,2G,4777
2023,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,4G,23065
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,3G,2217
2022,1,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,4G,0
2022,1,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,3G,277
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,,Teléfono movil,2G,10
2022,1,PARTNERS TELECOM COLOMBIA SAS,Empresas,Data Card,4G,185
2021,4,PARTNERS TELECOM COLOMBIA SAS,Empresas,Teléfono movil,3G,733
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,3G,171447
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,3G,490965
2023,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,2G,65018
2023,2,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,3G,
2022,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,3G,311
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,4G,3658955
2022,1,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,2G,117020
2022,1,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,2G,95825
2022,1,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,3G,1277
2022,1,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,3G,1277
2022,1,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,3G,1277
2022,1,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,4G,2124
2023,2,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,3G,138931
2023,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,4G,34707
2023,2,PARTNERS TELECOM COLOMBIA SAS,Empresas,Teléfono movil,3G,1217
2023,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,3G,174200
2023,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,3G,146
2022,1,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,4G,2043104
2022,1,PARTNERS TELECOM COLOMBIA SAS,Empresas,Teléfono movil,4G,4505
2022,1,PARTNERS TELECOM COLOMBIA SAS,Personas,Data Card,4G,14950
2022,1,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,3G,121494
2022,1,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,2G,19340
2022,1,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,4G,3151316
2021,4,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,3G,106672
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,4G,609264
2023,2,PARTNERS TELECOM COLOMBIA SAS,Empresas,Teléfono movil,4G,13156
2022,1,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,3G,98186
2022,1,AVANTEL S.A.S,Empresas,Teléfono movil,4G,5432
2022,1,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,2G,0
2022,1,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,3G,15992
2023,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,2G,110879
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,3G,4281
2022,1,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,3G,77046
2022,1,SETROC MOBILE GROUP SAS,Personas,Teléfono movil,4G,0
2022,1,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,4G,808935
2022,1,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,2G,31389
2022,1,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,4G,210508
2023,2,SETROC MOBILE GROUP SAS,Personas,Teléfono movil,4G,0
2023,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,3G,113769
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,4G,4974
2023,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,4G,7652954
2023,2,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,4G,9063
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,2G,74
2023,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,3G,2023
2023,2,PARTNERS TELECOM COLOMBIA SAS,Empresas,Data Card,4G,1599
2023,2,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,4G,253637
2023,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,2G,14093
2023,2,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,4G,0
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,4G,24149
2023,2,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,3G,536
2023,2,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,4G,2593809
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,2G,50065
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,3G,434696
2023,2,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,2G,0
2023,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,3G,342524
2023,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,2G,595
2023,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,4G,580
2023,2,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,3G,33097
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,2G,4355
2023,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,4G,109055
2023,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,3G,1191
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,3G,194060
2023,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,4G,50645
2023,2,PARTNERS TELECOM COLOMBIA SAS,Personas,Data Card,4G,22413
2023,2,INSIDENET SAS,Personas,Data Card,2G,75
2023,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,4G,1056781
2023,2,PARTNERS TELECOM COLOMBIA SAS,Personas,Data Card,3G,1
2023,2,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,4G,1474309
2023,2,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,3G,686
2023,2,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,4G,2965
2023,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,2G,43504
2020,3,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,4G,0
2020,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,3G,173693
2020,3,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,2G,51452
2020,3,AVANTEL S.A.S,Empresas,Data Card,4G,36947
2020,3,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,3G,100401
2020,3,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,2G,126872
2020,3,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,3G,2838
2020,3,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,3G,174461
2020,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,2G,377
2020,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,4G,21473
2020,3,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,4G,874
2020,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,2G,137192
2020,3,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,3G,93299
2020,3,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,2G,105694
2020,3,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,3G,6231
2020,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,3G,368901
2020,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,3G,5067
2020,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,2G,369
2020,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,3G,5042
2020,3,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,4G,5201548
2020,4,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,4G,0
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,3G,339170
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,4G,5519
2020,4,AVANTEL S.A.S,Personas,Data Card,4G,509
2020,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,3G,5332
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,2G,62517
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,2G,15879
2020,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,4G,834
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,4G,20842
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,3G,4749
2020,4,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,3G,2321
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,2G,123917
2020,4,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,4G,946
2020,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,2G,29199
2020,4,SETROC MOBILE GROUP SAS,Personas,Teléfono movil,4G,0
2020,4,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,3G,82519
2020,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,2G,867
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,4G,2470952
2020,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,4G,20100
2020,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,2G,276
2020,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,3G,4016
2020,4,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,3G,6597
2020,4,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,3G,0
2020,4,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,4G,34522
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,3G,172507
2020,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,3G,605
2020,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,2G,104775
2020,4,AVANTEL S.A.S,Personas,Teléfono movil,4G,337722
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,3G,439518
2020,4,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,2G,46727
2020,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,2G,122387
2020,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,2G,378
2020,4,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,4G,1220738
2020,4,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,2G,20560
2020,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,3G,186169
2020,4,AVANTEL S.A.S,Empresas,Teléfono movil,4G,37131
2023,2,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,3G,0
2020,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,4G,16579
2020,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,4G,736852
2020,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,4G,5452016
2020,4,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,4G,1551
2020,4,AVANTEL S.A.S,Empresas,Data Card,4G,34900
2020,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,4G,120747
2020,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,3G,108489
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,4G,572369
2020,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,2G,88
2020,4,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,2G,0
2020,4,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,3G,2039
2020,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,3G,597441
2022,2,SETROC MOBILE GROUP SAS,Personas,Teléfono movil,4G,0
2022,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,2G,1011
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,4G,4941
2022,2,AVANTEL S.A.S,Empresas,Data Card,4G,7
2022,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,4G,20686
2022,2,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,4G,231797
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,2G,83487
2022,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,3G,196082
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,4G,606822
2022,2,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,3G,0
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,2G,10265
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,2G,135
2022,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,3G,445072
2022,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,3G,120679
2022,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,4G,7029480
2022,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,3G,250
2022,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,2G,146641
2022,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,4G,83989
2022,2,PARTNERS TELECOM COLOMBIA SAS,Empresas,Teléfono movil,4G,5263
2022,2,PARTNERS TELECOM COLOMBIA SAS,Empresas,Data Card,4G,405
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,4G,3252171
2022,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,2G,87320
2022,2,PARTNERS TELECOM COLOMBIA SAS,Personas,Data Card,4G,17884
2022,2,AVANTEL S.A.S,Empresas,Teléfono movil,4G,3476
2022,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,2G,25
2022,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,4G,483
2022,2,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,4G,848422
2022,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,3G,205
2022,2,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,4G,2340
2022,2,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,2G,39843
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,2G,70534
2022,2,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,3G,15615
2022,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,2G,4
2022,2,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,3G,1078
2022,2,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,4G,0
2022,2,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,2G,35240
2022,2,PARTNERS TELECOM COLOMBIA SAS,Empresas,Teléfono movil,3G,531
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,3G,457793
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,4G,54394
2022,2,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,2G,0
2022,2,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,3G,87518
2022,2,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,3G,639
2022,2,PARTNERS TELECOM COLOMBIA SAS,Personas,Data Card,3G,5
2022,2,AVANTEL S.A.S,Personas,Data Card,4G,60
2022,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,4G,7578
2022,2,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,3G,66116
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,3G,3922
2022,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,3G,1920
2022,2,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,2G,20305
2022,2,AVANTEL S.A.S,Personas,Teléfono movil,4G,6772
2022,2,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,4G,858723
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,3G,179959
2022,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,3G,437012
2022,2,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,4G,6083
2022,2,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,4G,2193453
2022,3,PARTNERS TELECOM COLOMBIA SAS,Personas,Data Card,3G,6
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,4G,3425244
2022,3,INTELNEXT SAS,Empresas,Teléfono movil,4G,1
2022,3,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,3G,0
2022,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,4G,8771
2022,3,SETROC MOBILE GROUP SAS,Personas,Teléfono movil,4G,0
2022,3,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,2G,123553
2022,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,2G,12
2022,3,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,4G,232091
2022,3,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,4G,6185
2022,3,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,4G,2236097
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,4G,5047
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,4G,624919
2022,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,3G,192
2022,3,INTELNEXT SAS,Personas,Teléfono movil,4G,73
2022,3,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,4G,0
2022,3,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,2G,81255
2022,3,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,3G,968
2022,3,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,3G,81260
2022,3,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,4G,7220319
2022,3,PARTNERS TELECOM COLOMBIA SAS,Empresas,Teléfono movil,3G,605
2022,3,PARTNERS TELECOM COLOMBIA SAS,Personas,Data Card,4G,21461
2022,3,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,2G,0
2022,3,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,3G,422555
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,3G,425376
2022,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,3G,2199
2022,3,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,4G,893011
2022,3,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,3G,120483
2022,3,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,3G,64515
2022,3,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,3G,13515
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Teléfono movil,2G,9655
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,2G,79304
2022,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,2G,1
2022,3,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,4G,23905
2022,3,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,3G,639
2022,3,PARTNERS TELECOM COLOMBIA SAS,Empresas,Data Card,4G,747
2022,3,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,4G,99528
2022,3,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,2G,31834
2022,3,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,3G,184617
2022,3,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,4G,443
2022,3,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,2G,1076
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,3G,474468
2022,3,PARTNERS TELECOM COLOMBIA SAS,Empresas,Teléfono movil,4G,9748
2022,3,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,4G,998538
2022,3,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,2G,15716
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,3G,3838
2022,3,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,3G,201
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Teléfono movil,2G,73032
2022,3,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,4G,2220
2022,3,COLOMBIA MOVIL  S.A ESP,Empresas,Teléfono movil,2G,26354
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,4G,50293
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,2G,136
2022,3,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Empresas,Data Card,3G,193098
2022,4,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,4G,2443527
2022,4,PARTNERS TELECOM COLOMBIA SAS,Empresas,Teléfono movil,3G,445
2022,4,PARTNERS TELECOM COLOMBIA SAS,Personas,Data Card,3G,3
2022,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,3G,2171
2022,4,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,2G,0
2022,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,Personas,Data Card,3G,3876
2022,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,4G,929772
2022,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Empresas,Teléfono movil,4G,9103
2022,4,COLOMBIA MOVIL  S.A ESP,Personas,Teléfono movil,3G,82124
2022,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Data Card,3G,197
2022,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Data Card,3G,118770
2022,4,COLOMBIA MOVIL  S.A ESP,Empresas,Data Card,3G,633
2022,4,COMUNICACION CELULAR S A COMCEL S A,Personas,Teléfono movil,3G,397778
2022,4,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,Personas,Teléfono movil,4G,104433
2022,4,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,CMTS (para redes con tecnolog�,0
2022,4,COLOMBIA MOVIL  S.A ESP,Personas,Data Card,4G,2363
2022,4,PARTNERS TELECOM COLOMBIA SAS,Personas,Teléfono movil,4G,1231332
2022,4,VIRGIN MOBILE COLOMBIA S.A.S.,Personas,Teléfono movil,3G,0
2022,4,COMUNICACION CELULAR S A COMCEL S A,Empresas,Teléfono movil,3G,189794
